uniqueID,Booking_Date,Gross_Amount
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-03-26,60.102
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-04-02,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-04-09,16.695
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-04-16,13.356
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-04-23,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-04-30,20.034
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-05-07,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-05-14,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-05-21,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-05-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-06-04,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-06-11,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-06-18,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-06-25,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-07-02,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-07-09,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-07-16,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-07-23,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-07-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-08-06,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-08-13,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-08-20,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-08-27,0.0
