uniqueID,Booking_Date,Gross_Amount
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-03-31,60.102
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-04-30,50.085
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-05-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-06-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-08-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-09-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-10-31,59.0625
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-11-30,94.5
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2023-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-02-29,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-01-31,207.89999999999998
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-02-28,268.5375
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-03-31,281.4
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-04-30,200.025
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-05-31,198.45
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-06-30,154.35
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-07-31,154.35
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-08-31,158.025
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-09-30,221.44500000000002
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-10-31,148.575
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-11-30,28.77
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2023-12-31,66.15
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-01-31,73.5
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-02-29,84.525
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-04-30,11.34
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-05-31,49.14
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-06-30,68.03999999999999
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-07-31,24.57
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-08-31,47.25
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-09-30,24.57
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-10-31,7.56
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-11-30,11.34
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2023-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-02-29,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-01-31,715.3125
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-02-28,800.625
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-03-31,702.1875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-04-30,826.875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-05-31,702.1875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-06-30,675.9375
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-07-31,693.7875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-08-31,676.9875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-09-30,196.875
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-10-31,419.7375
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2023-11-30,989.1
