uniqueID,Booking_Date,predicted
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-03-31,12.68392146823847
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-04-30,8.216786655426732
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-05-31,6.5009195272809155
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-06-30,5.713211260146087
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-07-31,2.6402184889528253
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-08-31,0.9243513608070043
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-09-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-10-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2024-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2025-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread,2025-02-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-03-31,52.71332310629601
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-04-30,27.2847853609322
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-05-31,14.052898139505903
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-06-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-08-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-09-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-10-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2024-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2025-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread arabic,2025-02-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-03-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-04-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-05-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-06-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-08-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-09-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-10-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2024-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2025-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread pan,2025-02-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-03-31,545.630275361611
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-04-30,414.4149432791046
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-05-31,394.7800303811631
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-06-30,465.86344171372366
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-07-31,350.6014763607948
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-08-31,330.96656346285323
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-09-30,386.09660806583634
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-10-31,286.78800944248485
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-11-30,267.15309654454336
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2024-12-31,306.329774417949
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2025-01-31,222.97454252417504
ADAGIO__F&B Kitchen__LS - Bakery Products Fresh__bread toast,2025-02-28,203.33962962623355
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-03-31,1055.0142539033623
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-04-30,919.2695058364593
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-05-31,986.1655971375877
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-06-30,1326.7796248141965
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-07-31,1136.6818025651266
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-08-31,1203.5778938662552
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-09-30,1598.5449957250307
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-10-31,1354.094099293794
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-11-30,1420.9901905949225
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-12-31,1870.310366635865
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2025-01-31,1571.5063960224616
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2025-02-28,1638.40248732359
